traj_id,cell_id,cell_names
375,3430,C10:4
268,3424,C9:28
212,3460,C11:4
97,3454,C10:28
244,3553,C14:7
445,3229,C3:13
309,3429,C10:3
85,3526,C13:10
476,3898,C25:22
474,3207,C2:21
376,3129,C0:3
495,3159,C1:3
111,3618,C16:12
13,3151,C0:25
460,3826,C23:10
139,3757,C21:1
136,3227,C3:11
191,3789,C22:3
244,3523,C13:7
471,3825,C23:9
331,3615,C16:9
26,3362,C7:26
155,3667,C18:1
476,3868,C24:22
397,3201,C2:15
338,3171,C1:15
291,3692,C18:26
457,3735,C20:9
139,3787,C22:1
347,3540,C13:24
111,3588,C15:12
272,3789,C22:3
82,3249,C4:3
15,3183,C1:27
117,3177,C1:21
45,3692,C18:26
80,3671,C18:5
298,3671,C18:5
37,3652,C17:16
207,3551,C14:5
400,3379,C8:13
366,4024,C29:28
487,3472,C11:16
74,3754,C20:28
482,3271,C4:25
137,3406,C9:10
223,3905,C25:29
383,3655,C17:19
33,3201,C2:15
51,3765,C21:9
371,3778,C21:22
269,3532,C13:16
9,3865,C24:19
63,3357,C7:21
142,3198,C2:12
154,3430,C10:4
20,3919,C26:13
121,3430,C10:4
54,3721,C19:25
83,3690,C18:24
410,3796,C22:10
418,3472,C11:16
238,3238,C3:22
24,3207,C2:21
241,3454,C10:28
133,3735,C20:9
251,3406,C9:10
250,3641,C17:5
267,3611,C16:5
411,3608,C16:2
248,3819,C23:3
257,3581,C15:5
6,3271,C4:25
337,3524,C13:8
30,3487,C12:1
282,3609,C16:3
217,3749,C20:23
100,3826,C23:10
146,3795,C22:9
16,3675,C18:9
2,3301,C5:25
278,3893,C25:17
358,3685,C18:19
26,3392,C8:26
61,3490,C12:4
499,3962,C27:26
166,3802,C22:16
260,3778,C21:22
355,3896,C25:20
39,3843,C23:27
437,3977,C28:11
461,3144,C0:18
454,3354,C7:18
351,3490,C12:4
390,3278,C5:2
116,3278,C5:2
172,3278,C5:2
231,3278,C5:2
122,3957,C27:21
311,3947,C27:11
441,3460,C11:4
252,3252,C4:6
320,3749,C20:23
434,3556,C14:10
354,3504,C12:18
237,3896,C25:20
262,3608,C16:2
294,3961,C27:25
314,3614,C16:8
343,3685,C18:19
277,3575,C14:29
207,3581,C15:5
411,3638,C17:2
122,3987,C28:21
433,3620,C16:14
112,3671,C18:5
463,3129,C0:3
193,3614,C16:8
148,3376,C8:10
288,3749,C20:23
390,3248,C4:2
172,3248,C4:2
116,3248,C4:2
231,3248,C4:2
146,3825,C23:9
247,3590,C15:14
203,3253,C4:7
104,3470,C11:14
451,3575,C14:29
235,3196,C2:10
448,3789,C22:3
150,3812,C22:26
489,3775,C21:19
220,3732,C20:6
360,3887,C25:11
202,3868,C24:22
387,3327,C6:21
182,3887,C25:11
77,3299,C5:23
67,3781,C21:25
381,3615,C16:9
216,3575,C14:29
64,3150,C0:24
299,3299,C5:23
498,3177,C1:21
243,3402,C9:6
97,3424,C9:28
101,3177,C1:21
160,3641,C17:5
76,3894,C25:18
262,3638,C17:2
157,3357,C7:21
333,3882,C25:6
295,3490,C12:4
273,3740,C20:14
71,3482,C11:26
367,3482,C11:26
10,3482,C11:26
43,3735,C20:9
52,3826,C23:10
379,3459,C11:3
