t_coordinates,poi
POINT(43.73763 -79.51263),POINT(43.7372096 -79.512633)
POINT(43.73763 -79.51263),POINT(43.7374607 -79.5126365)
POINT(43.73803 -79.51274),POINT(43.7372096 -79.512633)
POINT(43.73803 -79.51274),POINT(43.7374607 -79.5126365)
POINT(43.73825 -79.5128),POINT(43.7374607 -79.5126365)
POINT(43.73825 -79.5128),POINT(43.738927 -79.513231)
POINT(43.73825 -79.5128),POINT(43.7390828 -79.5132047)
POINT(43.73825 -79.5128),POINT(43.7391007 -79.5130423)
POINT(43.73825 -79.5128),POINT(43.739207 -79.512969)
POINT(43.73845 -79.51285),POINT(43.7392537 -79.5123766)
POINT(43.73845 -79.51285),POINT(43.738927 -79.513231)
POINT(43.73845 -79.51285),POINT(43.7393835 -79.51307)
POINT(43.73845 -79.51285),POINT(43.739383 -79.513203)
POINT(43.73845 -79.51285),POINT(43.7390828 -79.5132047)
POINT(43.73845 -79.51285),POINT(43.7391007 -79.5130423)
POINT(43.73845 -79.51285),POINT(43.739207 -79.512969)
POINT(43.73866 -79.51292),POINT(43.7392537 -79.5123766)
POINT(43.73866 -79.51292),POINT(43.738927 -79.513231)
POINT(43.73866 -79.51292),POINT(43.7393835 -79.51307)
POINT(43.73866 -79.51292),POINT(43.739383 -79.513203)
POINT(43.73866 -79.51292),POINT(43.73956 -79.512946)
POINT(43.73866 -79.51292),POINT(43.7390828 -79.5132047)
POINT(43.73866 -79.51292),POINT(43.7391007 -79.5130423)
POINT(43.73866 -79.51292),POINT(43.739207 -79.512969)
POINT(43.73884 -79.51297),POINT(43.7393907 -79.5121808)
POINT(43.73884 -79.51297),POINT(43.7392537 -79.5123766)
POINT(43.73884 -79.51297),POINT(43.738927 -79.513231)
POINT(43.73884 -79.51297),POINT(43.7393835 -79.51307)
POINT(43.73884 -79.51297),POINT(43.739383 -79.513203)
POINT(43.73884 -79.51297),POINT(43.73956 -79.512946)
POINT(43.73884 -79.51297),POINT(43.7390828 -79.5132047)
POINT(43.73884 -79.51297),POINT(43.7391007 -79.5130423)
POINT(43.73884 -79.51297),POINT(43.739207 -79.512969)
POINT(43.7392802022043 -79.5130969812322),POINT(43.7393907 -79.5121808)
